code_air,nom_air,code_district
1065,Banaye,118
1066,Be,118
1067,Boula ibib,118
1068,Dola,118
1069,Holma,118
1070,Langui,118
1071,Pitoa,118
1072,Balkossa,119
1073,Beka,119
1074,Bimba,119
1075,Boumba,119
1076,Djoumte,119
1077,Fignole,119
1078,Poli,119
1079,Tapare,119
1080,Tchamba,119
1081,Voko,119
1082,Wangai,119
1083,Alpha,120
1084,Baikwa,120
1085,Bere,120
1086,Djamare,120
1087,Djouroum,120
1088,Dobinga,120
1089,Koinderi,120
1090,Kong rong,120
1091,Mombore,120
1092,Rey bouba,120
1093,Sinassi,120
1094,Somessi,120
1095,Djaba,121
1096,Gamba,121
1097,Gor,121
1098,Hormbali,121
1099,Kali,121
1100,Madingring,121
1101,Sakdje,121
1102,Sorombeo,121
1103,Tchollire,121
1104,Djom,122
1105,Dompta,122
1106,Mafare,122
1107,Mbai-mboum,122
1108,Mbaka,122
1109,Mbang-rey,122
1110,Mbeing,122
1111,Ngai-lara,122
1112,Touboro,122
1113,Vogzom,122
1114,Yanli,122
1115,Abongshie,123
1116,Ako urban,123
1117,Akwaja,123
1118,Berabe,123
1119,Buku,123
1120,Jevi,123
1121,Kuta,123
1122,Akofunguba,124
1123,Akossia,124
1124,Buwe - Bukari,124
1125,Mambu,124
1126,Manji,124
1127,Mankanikong,124
1128,Mankwi,124
1129,Mbakong,124
1130,Mforya,124
1131,Mundum,124
1132,Nchum,124
1133,Nsem,124
1134,Nsoh,124
1135,Tingoh,124
1136,Bali catholic,125
1137,Bali urban,125
1138,Bawock,125
1139,Bossa,125
1140,Gungong,125
1141,Njenka,125
1142,Wosing,125
1143,Akumlam,126
1144,Alabukam,126
1145,Alakuma,126
1146,Alamandom,126
1147,Atuakom,126
1148,Azire,126
1149,Mankon,126
1150,Mbachogwa,126
1151,Mendankwe,126
1152,Mulang,126
1153,Ndzah,126
1154,Nkwen Baptist,126
1155,Nkwen rural,126
1156,Nkwen urban,126
1157,Ntambag,126
1158,Ntamulung,126
1159,Ntankah,126
1160,Ashong,127
1161,Batibo urban,127
1162,Bifang,127
1163,Eka,127
1164,Ewai,127
1165,Ewoh,127
1166,Guzang,127
1167,Gwofon,127
1168,Kugwe,127
1169,Kulabei,127
1170,Larinji,127
1171,Olorunti,127
1172,Tiben,127
1173,Widikum,127
1174,Baworo,128
1175,Beba-Batomo,128
1176,Befang,128
1177,Benabinge,128
1178,Benade,128
1179,Benakuma,128
1180,Modelle,128
1181,Okoromanjang,128
1182,Aduk,129
1183,Anyajua,129
1184,Belo,129
1185,Faunantui,129
1186,Fundong urban,129
1187,Kikfuini,129
1188,Konene,129
1189,Mbengkas,129
1190,Mbessa,129
1191,Mejang,129
1192,Mentang,129
1193,Ndawara,129
1194,Dzeng,130
1195,Jakiri cma,130
1196,Jakiri IHC,130
1197,Kwanso,130
1198,Lip,130
1199,Mbah,130
1200,Mbam,130
1201,Mbiame,130
1202,Mbokam,130
1203,Mbonso,130
1204,Ngendzen,130
1205,Ngorin,130
1206,Nkar,130
1207,Shisong,130
1208,Sop,130
1209,Tatum,130
1210,Vekovi,130
1211,Wainamah,130
1212,Wasi Ber,130
1213,Wvem,130
1214,BBH,131
1215,Buh,131
1216,Kai,131
1217,Kikaikom,131
1218,Kikiakelaki,131
1219,Kitiwum,131
1220,Kumbo CMA,131
1221,Kumbo urban,131
1222,Kuvlu,131
1223,Melim,131
1224,Nkumkov,131
1225,Abebung,132
1226,Acha tugi,132
1227,Acha tugi,132
1228,Ajei,132
1229,Andek,132
1230,Azem,132
1231,Bome,132
